,skill,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Rapid Wien,5,0,3,3,6,6,9,9,12,15,15,18,18,18,21,21,24,24,27,30,33,36,39,42,42,45,48,51,54,57,57,60,63,66,69,72,72,75,75,78,81,81,81,84,87,90
Sturm Graz,10,0,0,3,6,6,9,12,12,15,18,21,24,27,30,33,33,36,36,36,39,42,45,45,48,48,51,51,54,57,60,60,63,66,66,66,69,72,75,75,75,75,78,81,84,84
LASK,7,0,0,3,6,9,9,9,9,12,15,18,18,18,18,21,24,27,27,27,27,30,33,36,39,39,42,45,45,45,45,48,48,51,51,51,54,57,57,60,63,66,66,69,72,72
Austria Wien,3,0,0,0,0,0,0,0,3,3,6,9,12,12,15,15,18,18,21,21,21,21,24,24,24,24,24,24,27,27,27,30,33,36,39,39,39,39,42,42,45,45,48,48,51,51
Wolfsberger AC,4,0,3,6,6,9,12,15,18,18,21,24,24,27,27,27,27,27,30,33,36,39,42,42,45,45,45,48,48,51,51,51,51,54,54,54,57,60,60,63,63,63,63,63,66,66
SV Ried,4,0,0,0,3,6,6,6,6,9,12,15,15,15,18,18,21,24,27,30,33,36,39,42,42,42,45,45,48,51,54,57,60,63,63,66,66,66,69,69,69,69,72,75,78,78
SV Mattersburg,3,0,0,3,6,9,9,12,15,18,18,21,24,27,27,30,30,30,30,33,36,39,42,45,45,45,48,51,51,51,54,57,57,60,63,66,66,66,66,69,72,72,72,75,78,78
SKN St. P̦lten,2,0,3,3,6,6,6,9,9,9,12,15,18,21,21,24,27,27,27,27,27,27,30,30,30,33,36,39,42,42,42,42,45,48,48,51,54,54,57,60,63,66,66,69,72,72
SCR Altach,4,0,0,0,0,3,6,6,6,9,9,12,12,12,12,15,18,18,18,18,21,21,24,24,27,27,27,27,30,30,30,33,36,39,42,42,45,48,48,51,51,54,57,57,60,60
FC Admira Wacker M̦dling,2,0,0,3,3,3,3,3,6,6,9,12,12,12,12,12,15,15,15,15,18,21,24,24,24,24,27,27,30,30,33,33,33,36,36,36,36,36,39,42,42,42,42,45,48,48
GAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salzburg,8,0,0,3,6,6,9,12,12,12,15,18,21,24,24,24,27,30,30,30,33,36,39,42,45,45,48,48,51,54,54,57,57,60,63,66,66,69,72,75,78,81,84,87,90,93
